,T98G,RD,A-673,L-1236,786-0,A498,A549,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-15,HCT116,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231,MDA-MB-468,MOLT-4,NCI-H226,NCI-H322M,NCI-H522,NCIH23,OVCAR-4,OVCAR-5,OVCAR-8,OVCAR3,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC62,UO-31,TC-71,HDLM-2,L-428,A2780,A375,A427,ES2,HT144,LOVO,MDAMB436,NCIH1650,NCIH2122,NCIH520,OCUBM,OV90,PA1,RKO,RPMI7951,SKMES1,SW837,UWB1289,VCAP,A2058
PRPF4,6.201798945,6.941369468,7.136413016,7.013827166,7.103471564,6.641244429,6.288337645,5.929416162,7.407282424,6.385809389,7.147296369,6.756059133,8.102302271,6.197675607,7.262537488,6.27983451,7.193830391,5.977615404,5.902634391,5.673071119,6.278960464,6.651820203,6.349362557,7.01913287,7.185529279,6.599329189,6.851467009,7.185226875,6.099048067,7.290292046,6.781640739,6.130883833,6.395471005,7.025899222,6.115239786,6.267713657,6.665711639,6.132805438,6.297722583,6.671097395,6.835089168,6.715056071,6.072219889,6.542749526,6.313660646,6.197717931,7.308033856,5.520651491,7.602434919,6.910660613,7.113769839,6.526500867,7.590802362,8.252284697,6.906891114,6.71088192,6.308067349,5.780931911,6.687566514,7.113376498,6.570707162,6.819535066,7.681541759,5.501494354,6.497226119,7.107805514,6.307578006,6.685496204,6.844078248,7.338762428,6.516883662,7.51856945,6.596029217,6.657856957,7.387479378,6.980686855,6.303642757,7.119543137,6.611343532,6.36229796,7.089843933
MELK,7.32539738,6.959244336,7.811696269,7.878635788,7.457289435,7.376912779,6.386179765,5.708690844,8.642091097,6.546496838,8.024463137,5.305076025,8.705036598,6.428858896,7.783150711,7.658317876,6.811694298,6.491435814,6.836731951,7.244463543,6.038142578,7.758356776,7.225186581,7.824207434,5.990010654,8.056621101,6.267779143,8.389531533,9.554757694,8.250156348,6.975648639,6.634403487,7.573225034,8.682442411,8.113335308,7.123814585,6.208990718,8.235066696,7.237706257,6.349054777,7.925759833,8.775664864,6.620900594,7.748932064,6.785184697,7.406452287,6.744933733,5.494590286,8.086762183,7.790416676,8.359332318,6.79429683,6.180056698,7.639239046,7.914178585,6.768718954,6.737167419,6.562601872,6.9230755,8.693680124,9.091621305,7.192518598,6.062148489,7.128827763,6.769669033,6.121247651,6.049864525,7.990244536,7.689401772,7.191157756,8.284017668,7.306043625,7.349056146,6.635156375,6.547242255,6.152147836,7.167504457,6.916958634,7.274311145,7.359014824,7.147554211
DAXX,6.99095361,6.433722368,7.282301565,8.021584842,7.38532553,7.317562001,6.246309416,6.484218472,8.912677026,7.169289961,7.567207497,5.711244268,7.674190159,6.028796366,7.029324478,7.092597305,6.989114849,6.622748512,6.535892574,7.928941053,7.000656264,6.892872601,7.733500279,6.718746423,8.142221771,7.260594974,7.394406283,6.621102439,8.033089344,7.954031488,7.930529013,6.906614316,7.635850353,8.452833721,6.74917408,6.454436082,7.515959418,6.983154933,7.321430117,7.01266588,7.227648527,7.147048022,7.194937642,7.419600033,7.646500179,6.547356002,6.524656416,6.793839306,7.248559448,7.507407934,7.510876661,7.106723565,7.998419698,7.157619446,6.597402321,7.254402641,5.996037804,7.217892407,7.613826565,7.06603055,7.688839939,7.262317264,7.114786751,6.945700155,7.053843056,7.30425368,7.454743557,8.065641411,6.666082095,6.882184336,6.822310828,7.72950496,6.840617802,7.152854528,7.352874262,7.093596861,6.937348287,5.959478974,6.694082131,7.303132608,7.747129712
SMAD3,6.91674051,5.383570573,5.352753453,4.056909866,7.199879004,5.756862552,6.90909429,6.216453963,5.138716961,6.855619199,4.22736292,5.604771054,6.377501739,5.700380364,5.247807437,5.281502028,5.314036082,6.850579591,6.081171719,5.682694836,6.386118354,6.292734442,5.231375374,4.675681755,6.478191457,5.287547545,5.541228568,6.704375265,5.238331646,4.280569484,7.9959661,6.322051489,4.588397212,6.510460227,5.622133202,7.640195081,5.351006976,5.009378254,6.217882356,4.470422989,5.90910144,5.752320642,6.910061432,6.210519291,5.213825658,4.915868791,4.46775535,4.779846455,5.44180051,5.094574396,6.095870727,5.529761857,5.032484482,5.518019074,6.016571281,5.073590574,5.825585302,5.560838192,4.835229747,4.440696313,4.088693192,4.610228457,6.254927099,4.360049456,7.133523859,5.572595392,5.60742651,6.374291248,5.597264447,5.66270956,5.045577712,4.228432679,5.534674951,5.049110146,4.156157164,5.755032097,8.063821122,5.41127989,6.18572924,4.538320007,4.66959093
OXA1L,6.626265454,7.286123035,7.094424343,6.632079479,7.572133883,5.885147636,8.270953411,7.259596802,6.722450783,6.370640549,6.93159626,7.785090359,6.802552335,7.556443334,7.652684275,7.41127787,7.812847625,7.233409967,8.11251943,6.301085091,7.089123227,7.960620784,7.376221863,8.120427858,7.756622833,7.070628314,7.433304101,7.715804047,6.517678676,6.640523093,7.60123204,7.542910747,7.146423986,7.405231245,6.673380949,7.434722625,8.257138495,6.572117551,7.653114963,7.673418605,6.169884715,6.609392683,6.679660174,6.72721447,6.844962493,7.458952688,7.300215624,6.86595041,7.269212189,6.559962077,7.296612966,7.315182158,7.614630966,7.404874496,6.902708544,7.954699197,7.415622276,6.660219703,7.900030479,7.036851498,8.020241233,8.033863051,7.650496846,7.612702141,8.209344482,8.003069549,7.138430381,8.252720421,6.121964392,8.1869924,7.118030257,6.625759446,7.126798834,7.536382524,8.317145025,7.238691298,7.074784002,7.046411687,7.437261688,7.248371028,7.848218981
SNX7,8.12683764,7.967480575,4.775061233,8.503997377,8.173590984,8.276822782,7.811762721,7.699621867,8.856177885,8.093784712,3.445615762,6.427462159,7.782790619,8.31662892,7.474090711,7.550261818,7.077952937,7.335582457,8.717487311,8.609321882,7.889845549,8.832007194,3.575616255,6.763456169,7.377749718,8.619541821,3.75871216,8.09376987,9.190086054,3.310545782,7.944199171,6.873188171,7.984306317,6.678887769,6.928690205,6.873209116,8.847428648,6.051646454,8.209697007,3.430071724,9.071792301,8.442962552,7.689966929,8.822319711,7.105701658,7.593043252,6.89228174,6.600111534,7.971463062,8.826621458,8.34417733,5.241292177,3.358355891,8.158308687,8.864713039,7.471644557,6.705550228,8.035715535,9.856938756,4.04162037,9.968403311,7.094735427,7.858877534,8.386128622,7.370279834,5.657250682,4.270719046,7.86793865,8.259105756,6.833948082,6.647374636,5.181045204,8.966520845,7.691716565,6.75346175,7.507258903,8.309305429,6.709923157,7.544984955,4.215513617,7.635706147
CDCA4,4.846568079,5.340484388,5.501079667,5.419704146,6.358940302,4.450377808,4.773753846,4.420610343,5.276786821,4.398312552,6.743935782,3.988122669,6.825787802,4.813984878,4.801497832,5.771321437,5.615383811,5.198390683,4.225797118,5.005364631,4.450228964,5.387834173,5.719610066,5.154187242,6.313988624,6.414672977,5.423942045,7.104830749,4.780868546,6.032233273,5.609101912,5.3208884,6.512720375,5.303397886,5.612561989,5.68570895,4.097540716,6.045541729,7.2739277,4.639019566,4.827890297,7.113102276,5.259585636,5.620355476,5.804644363,4.877389493,6.329281209,4.283608534,6.72844312,5.3132171,6.095687709,4.832151229,5.55778843,5.732665472,5.674983742,5.423351127,5.467132496,4.756859872,5.967677755,6.297723947,5.980265011,5.908084533,5.523308557,5.826544465,5.133444233,5.122057545,5.132534245,5.742978632,5.589658033,5.536560354,5.081694046,5.076569334,5.559815503,6.40339742,7.238724432,4.829777544,6.628106888,5.746486939,5.489038183,5.069759616,6.286562379
TBC1D9B,4.45926047,4.137607861,4.043907663,4.180827387,4.887251991,4.386224339,4.158944187,3.990646286,4.824701986,4.385433331,3.64648051,4.753976253,4.275393944,4.686196329,4.747192462,4.480065679,4.313519353,4.565268982,4.261283038,4.441641968,4.358412217,4.333547033,4.065566439,4.022055779,4.478318645,4.485747266,4.641175921,3.720714429,4.401965375,3.994614286,4.896724056,4.430542481,4.166260393,4.030323113,4.931979424,4.043902908,4.321482057,4.355772639,4.410186326,3.949784727,4.411300774,4.174137575,4.576289338,4.856400417,4.605310685,4.32502244,4.172108767,4.946845822,4.039443,4.650258369,5.040829718,4.210427843,4.081792754,4.549315064,4.375993963,4.356572711,4.172010536,3.95426796,3.855432536,5.290186959,3.882476563,4.408662587,4.128419431,4.531103601,4.216952459,4.437123139,4.063121877,4.927864162,4.475345468,4.505578378,4.341646086,5.334095131,4.026959406,4.104663313,4.300385447,4.084089164,3.982448521,4.784498899,3.857576694,5.246148181,4.238995907
CDC20,7.419054246,7.090411893,7.830301293,5.815861927,7.821138011,6.320596813,5.574489124,5.527902953,8.213164201,6.929149698,7.818733674,5.000763696,8.525688954,7.332953498,6.567534303,7.726192087,7.136747225,6.22367683,6.464484745,7.880555107,6.480926185,7.201907271,7.577102128,7.686906847,5.286278725,8.057377696,6.422220552,7.504789728,8.251720647,7.721065984,7.412956701,6.709288145,7.37876634,8.091896042,7.829761557,6.982120072,4.532013538,7.024320995,7.937919693,6.670152626,7.681395915,8.39697615,7.062354463,7.691588712,7.042628505,6.798766557,5.977096874,4.637128837,8.284317064,7.099967689,7.775183015,6.519371321,6.584855781,9.475017935,7.660993,7.178862412,7.208358523,6.243687616,7.550966329,7.112589418,7.800345888,6.619844322,5.784690422,6.739546567,6.504798696,4.513282822,7.300463267,8.750751017,7.117034654,7.359380608,8.958113293,7.324220192,7.12942214,7.979276434,6.000988555,7.314347137,7.645976428,6.451576223,8.212648405,6.475854969,6.652822469
NARFL,3.623636018,3.566371493,3.719317622,3.59608976,3.952193368,3.616107349,3.644796944,3.682536476,3.67804516,3.752906384,3.830682085,3.980809916,3.721268561,3.618426469,3.953741696,3.941175974,3.760605505,3.491871128,3.685449808,3.461280648,3.798274121,3.616016998,3.896418926,3.545335433,3.822339969,3.862006281,3.809254791,3.484110241,3.589983893,3.745387327,3.526159699,4.014099175,3.8710514,3.558589562,3.692453279,3.569655701,3.667140766,3.675241561,3.867730831,4.00639626,3.49646996,3.706298079,4.097862058,3.582514453,3.689178191,3.721531205,3.770846865,3.97091381,3.750751043,3.515905061,3.717291118,4.040579901,4.123206457,3.740484149,3.55528293,3.859295862,3.478097756,3.630039084,3.790734315,3.772161985,3.821673058,3.756307613,3.733084356,3.634720924,3.847717402,3.698393769,4.117950355,3.481066095,3.542889401,3.946073123,3.961312486,3.834705158,3.628430406,3.599385161,3.888549887,3.60126597,3.581754438,3.779876105,3.616308328,3.806565679,3.691880983
DDX42,7.073291498,6.949658127,7.543971739,7.47120997,7.188869783,7.26603717,7.482714029,7.53841986,7.010370665,7.896222605,7.312413207,7.193370966,7.276058946,8.004807794,7.251671025,7.464987155,7.939382839,7.525447568,7.246108929,6.301467997,7.206158086,7.348799621,7.178638057,7.172478056,7.091510006,6.626212455,8.132387307,7.126421701,6.696641229,7.605799793,7.531023356,6.897691219,7.929511732,7.44929395,6.935554395,8.118985453,7.768102262,7.480155687,6.76096228,7.274518027,6.269448761,7.066535077,7.769463328,7.195962747,7.674402458,6.942720446,7.477840629,7.04067958,7.696657476,6.599094985,7.407587761,7.437593322,7.193102144,8.026021993,7.445932019,6.69828841,6.676347508,6.577826249,7.009038302,6.316140567,7.213872411,7.444460404,7.161502684,7.197670755,7.769980887,7.17337245,6.277847364,6.726693235,7.075549288,7.050902325,7.090208994,7.843563327,7.021242,6.920355749,7.458874973,6.42761014,7.405945446,7.480240557,6.612861797,6.919225836,7.343357853
IKBKE,4.211463567,4.21982289,3.187767843,4.021182585,4.012725176,4.133470016,3.605620688,3.546653527,3.713429268,4.761429398,5.174098664,4.910706938,4.176382574,4.689138429,3.896990074,4.295906301,3.571174706,4.11833336,5.291691145,3.561256539,3.828558602,4.502320188,3.946555943,3.588939807,4.504028909,4.332132055,3.703454891,4.759201716,4.159771084,4.280482987,4.392015611,4.266341216,3.82890086,3.700117865,3.365686298,3.753919572,3.538416687,3.897415134,4.435059225,4.273735956,4.489509912,3.730981845,4.071128101,4.215439693,3.832870287,3.708386584,4.094566408,3.432952971,3.83729707,3.674409282,4.263362157,3.82758143,3.741887235,4.484611146,3.535316397,4.18596855,4.077980696,4.403874017,3.823543612,4.075961694,5.434164658,3.930341698,3.823373753,4.197201089,3.592954497,3.724767402,3.643544365,4.926199235,3.678903246,4.581776507,3.725956931,3.28918792,3.707428152,3.871376155,3.997903027,4.031780289,5.071889028,3.987889124,3.920778016,3.253317093,4.521456434
CCL2,8.711619972,8.666165308,3.895250967,11.69730714,3.490028758,8.632741935,6.646306936,7.270899284,7.970938902,3.605755082,3.030729113,2.937240952,3.152810634,6.695899414,3.120279146,2.982539239,3.204585165,8.833928961,4.55251785,3.23956957,2.942261554,2.852244917,3.822838355,3.167501806,3.138483911,6.432364132,3.638045012,2.848726718,3.061778288,2.964316491,9.464557444,3.102574049,3.192942283,7.052906358,4.876077312,4.894838564,3.360631838,2.941189977,3.132587019,2.894259968,6.840513914,4.164113224,12.49171466,7.323360693,3.039999168,2.884191662,3.559240229,3.230209888,9.411611873,10.17440735,3.217775582,2.991703487,3.116767743,3.101231547,11.31376126,3.135486928,5.046207405,9.871853834,3.071455907,3.318195751,3.120834085,3.047398824,4.441173987,3.096698998,3.834105872,3.585191025,3.153854927,8.130432942,3.166026498,2.949241732,7.669077313,3.056197528,3.083541985,3.712405554,3.139953045,10.65950537,9.187470091,3.924385303,8.315587213,4.243367659,3.224191528
WDTC1,3.167664632,3.396595292,3.276554038,3.475973499,3.338145364,3.417232743,3.592369784,3.233144765,3.332821168,3.398931697,3.569677121,3.117026504,3.138082973,3.612266632,3.132996951,3.27965601,3.283849698,3.081520477,3.560511092,3.490947694,3.365867829,3.117011972,3.423201553,3.348712473,3.264469057,3.345722093,3.297101015,3.067454672,3.639091606,3.478893987,3.108937192,3.65815308,3.406784586,3.375505275,3.36944394,3.146521854,3.62316373,3.330362243,3.107683524,3.396415157,3.179572982,3.429392191,3.442147689,3.343240584,3.329468429,3.109913921,3.324146551,3.183479246,3.367545321,3.337917332,3.364430853,3.376022828,3.340261776,3.132706309,3.393856716,3.230352314,3.347831195,3.397785918,3.448828583,3.393554857,3.530043224,3.268381497,3.374721465,3.364253344,3.275669549,3.303977233,3.340354782,3.545883226,3.468307389,2.998750931,3.47590654,3.388131145,3.471114673,3.133997031,3.222776294,2.900064168,3.261546351,3.256914743,3.120088581,3.514861723,3.208196457
H2AFV,8.981038336,9.143808273,8.762420517,8.367126314,8.658176814,8.654625621,8.253015767,7.762582563,9.000504071,7.847034595,9.655463546,7.884365265,8.845485628,8.747700243,8.607201793,8.726493673,8.397928051,8.423044909,8.924992358,8.807835815,8.639940965,8.674166313,8.968220245,8.565076819,7.216809502,8.523947966,8.59697272,8.292146796,8.966208074,9.517338779,9.181876748,7.677117924,8.981581098,8.667767074,9.31405744,9.561493735,8.565517644,8.824203243,9.01364339,8.77576854,8.51098419,8.714246786,9.004959057,9.311859189,8.513819284,7.845558284,8.293047446,6.681592022,9.216073601,8.700877487,8.902952225,8.254079736,7.838004823,9.116532472,8.869106395,8.817200116,8.570093163,7.907403058,8.29358438,8.99235914,9.135221634,8.332613543,7.372045874,8.420634185,7.685079977,7.486447188,7.662083769,8.451381544,9.113562126,8.165595843,8.752135876,8.859968936,7.96652305,8.799304998,7.937862861,8.448180548,8.539514566,7.651219497,8.466564005,8.527985446,8.835282704
NUSAP1,8.298207473,7.725279744,8.771885566,7.966737299,8.197254503,7.447807037,7.405498281,6.532940244,8.244850631,7.483046197,9.254410121,5.816857059,9.034674223,7.831282632,7.963476537,8.230191035,7.404449162,6.565025007,6.549189305,8.310223395,7.720986725,8.360703077,8.416960873,8.49404115,5.355496159,9.203764761,6.99887498,8.497361041,8.429696913,9.528984584,7.618731759,7.887289159,7.899217621,8.393130436,8.251151405,8.494899382,6.807655239,8.337228533,8.488215418,7.382146795,8.192832827,8.450296923,7.019624987,8.45244542,7.973659799,7.854760254,7.567413953,4.48591249,9.025029022,7.961776868,8.875072982,6.966332185,7.851358504,8.711230488,9.581053603,7.591487514,7.3620337,5.86300749,8.105450653,8.80819332,9.05306596,7.133826607,7.462067688,7.287806951,7.561273075,6.787806608,7.951117542,9.43407121,8.490928315,8.701357876,8.996917593,8.780808184,8.836517411,8.140682296,7.105894231,7.981648826,7.733418955,7.317654988,8.364689074,8.04399694,8.022936662
FAM69A,5.851986515,3.385437137,4.229476388,5.1703876,3.368314051,5.91025065,4.650439403,3.619484347,3.450800473,3.535093783,4.595939797,3.872204057,3.754415407,3.431157338,3.567664185,3.619385152,3.760087742,3.804436989,4.617105249,6.236297633,3.250805118,3.580875328,3.545364543,3.72353617,4.25828887,4.361254701,3.36084383,3.840004928,5.132671978,3.958288615,3.904532209,3.642280953,4.474664334,3.918818239,4.098768521,3.630959551,4.6925559,3.64574882,3.402956698,4.49561646,4.564984893,4.882787611,5.140824705,6.627186829,4.081831229,5.109544281,4.642215929,3.502502972,3.809064524,6.818476932,3.883417667,3.950676873,3.477706345,3.473121063,4.654330291,4.330938143,3.943941915,4.474796921,3.671510102,4.552358373,4.351574691,4.0799325,3.253895395,4.607897648,3.944917883,3.739434199,3.449839816,3.53832048,5.047430976,4.630900153,4.656437392,3.626678655,3.40051757,4.649529703,4.114587294,4.942402039,4.675825127,3.374303796,3.454243753,3.61525306,4.125898815
SRC,4.809960555,3.675275106,3.93532846,3.365548121,4.494577478,5.159976159,7.496651628,4.281401703,4.640518828,5.34362326,3.784985091,5.948639725,4.070646855,3.940660866,4.181118759,4.173576314,4.135093797,3.726605374,4.365659789,4.0081256,6.199058205,4.390802949,3.604703064,4.800389308,4.160722303,4.925267775,3.962540446,4.077474802,3.830906294,4.446032275,4.208038838,5.517070675,3.918684713,4.340710591,3.375214747,4.006065707,3.779316365,3.60231476,5.550945611,3.54567526,4.760263603,3.815625231,3.743477151,3.986655951,3.948084665,4.459490632,3.888737194,4.479588364,4.230528318,4.364430666,3.584732165,4.265606603,4.227143512,4.524781392,3.796653896,4.400529494,3.274699162,4.55332885,3.613246073,3.748171571,3.950756647,3.697390941,4.292357042,3.704772315,4.515787499,3.92065699,4.376386705,4.126226832,4.523069759,5.016550567,4.200341768,3.815378673,4.216750369,3.819170318,5.288778358,4.178050982,4.790344828,4.603363449,4.270886543,5.874414414,4.147140464
BMP4,4.783365587,4.551046966,3.071452062,3.234512613,3.846887378,2.928112745,8.083918672,3.330151256,8.267797211,7.064374708,2.894347731,10.87419773,3.833479717,8.697359299,9.995646101,11.31944506,9.218190748,8.90956481,7.895076393,4.556839553,11.17680478,4.633113152,3.155760459,9.951587175,2.693277104,4.077537064,5.643457206,7.192197547,3.367891956,5.018871311,7.05723134,8.528312853,4.421588357,4.620294846,4.636414302,10.30492429,3.87779918,7.564327038,7.285207645,2.919289606,4.738077649,7.876995029,3.374234678,5.316778318,3.131276009,3.03706586,3.028014191,3.314318525,3.341558018,6.732465408,2.897133568,9.522456652,7.138900373,3.029324611,6.700128167,3.120587568,5.89451374,8.501901118,3.086959573,3.916970117,3.065532955,3.187297752,5.957233122,5.780248259,3.846519457,5.64186815,11.69926675,3.185216535,3.388785224,4.530601308,9.51676582,5.278898317,8.289909205,5.436932044,3.167875874,5.214706545,7.663453525,11.24718058,7.323350629,3.255843895,2.656589935
XPO7,6.941691906,7.207400062,7.098124648,6.080731077,6.249953462,5.960225974,6.723227342,6.322305843,7.744464118,6.672963825,6.609561423,6.203079923,6.712562936,5.873602379,6.886236322,7.006310355,6.248842883,6.154466001,5.984349584,7.691723481,5.43951681,7.265052161,7.641219164,7.233345781,6.004935081,6.561729588,6.33676095,5.828165728,7.077700969,7.200933606,6.332780051,6.366154929,6.263892605,7.412463074,6.459461232,5.396596736,6.493923015,7.389717672,6.690830349,6.31785233,5.928623556,6.542576901,6.883367543,7.640705697,7.502459684,6.565191625,5.63529489,6.821730659,6.381351428,6.487410752,6.879500916,6.827303736,6.426186919,6.743092043,6.725284239,6.46329332,6.929273804,6.162139224,7.457192763,5.630755671,6.82064952,6.630788348,6.862751956,6.765223202,6.448971216,6.327282706,5.802791356,6.706966713,5.954607657,7.473767878,6.910588478,6.39594888,6.017037174,6.841040952,6.924759178,6.910473028,6.726506679,5.970125441,6.073220743,6.821627095,6.684185549
FAIM,4.140613795,4.724625724,5.638138902,3.822384594,5.195071729,4.316065946,5.304722335,4.849923637,4.461894677,5.149487945,5.009511477,5.944546329,6.054697855,6.564222978,5.226547131,5.06795123,6.057638335,4.976369937,5.625784185,5.996265398,4.580135446,4.985644133,4.376018389,5.632972392,4.595264339,5.866989661,5.724350783,5.224719472,6.570542861,3.34878065,5.463057562,4.8531278,6.384962927,5.337995781,5.496285049,5.979354587,5.857339962,5.539284699,5.135595271,4.201360134,7.249010182,5.08130374,4.495452461,4.830780825,4.048194615,4.998526767,4.910622181,6.042521022,5.32597051,5.399469954,5.796176578,6.424968759,5.975169054,6.832293596,4.3832571,4.686796636,5.63049742,5.576212526,4.615468397,7.362187298,6.073587847,5.563409547,5.493534727,6.606119562,5.294786884,4.982682538,4.698528345,5.664180506,5.178335073,6.206857834,6.974926846,5.865309168,6.954081111,5.219088931,5.080429146,4.767357027,4.900754299,6.015442753,5.673611883,5.987660501,4.167216445
TIMM17B,7.046569749,7.24640768,7.707244928,7.779332915,7.805310808,6.801314696,7.764591263,6.33992106,6.466193943,7.229567542,7.635177884,8.564977443,7.042677683,7.573093623,7.130772899,7.412610103,5.74721037,6.146757446,7.800969014,6.430939201,7.597399746,7.142765529,8.315791197,7.505970006,6.464096044,6.931542085,6.917156153,7.892209838,7.428885585,7.267353581,6.897888691,7.670891057,8.072439614,7.195873704,7.302713148,6.458751125,7.166926538,6.242569067,7.536214762,8.043515472,6.654672415,7.067065021,7.260065685,6.386883512,6.830663841,6.346640583,6.107563782,7.065429809,7.360184344,6.734889158,7.376336821,8.367772512,8.279071085,7.028067248,6.610302435,7.120928719,6.342260771,6.494118099,7.361143083,7.876047653,7.220970242,7.627203542,6.776834376,7.84628656,6.519499274,5.57409459,7.161627112,7.565361463,7.035192752,6.745008311,6.904594808,6.954697736,7.170522695,8.092872556,7.180231245,7.516493928,6.87882774,6.874755771,6.823220714,6.160172605,6.5229067
STXBP2,3.408609952,3.013815146,3.435964698,4.157281001,3.418208961,3.457665686,3.239286099,3.386043958,3.321053741,3.964543409,3.18456968,3.735456588,3.513059991,3.171588718,3.616524186,3.330513819,3.904017112,3.133337212,3.336074803,3.01062991,3.650887178,3.333463085,4.21363095,3.466469405,2.919838087,3.216630333,3.305145987,3.41286364,3.527155937,3.546362313,3.319774413,3.314433171,3.249880006,3.367620856,3.533540559,3.768324026,3.565390899,3.082159587,3.84706781,3.639299223,3.566819634,3.115149882,3.170514251,3.042971594,3.872275023,3.924070358,3.190730998,3.832465749,3.111583313,3.082156185,3.34323289,3.649596136,3.656086207,3.773285254,3.077411636,3.859759303,2.953598071,3.231271084,3.611524068,3.562524995,3.544456041,3.080540939,3.063727703,3.5817268,3.237427118,3.195796139,3.706407304,3.758248274,3.059786713,3.35845638,3.624451059,3.464809326,3.520207196,3.091262586,3.336736432,2.926675896,3.242290136,3.202271024,4.003172541,3.230079409,2.988752179
HPRT1,9.666214214,8.224086855,9.349358637,9.169398806,9.533035496,8.982849301,9.799515317,9.597719851,10.10218381,9.429074533,10.57115622,7.680064427,9.960756349,8.167933479,9.475135843,8.972699107,9.611062336,9.71497244,9.802992101,9.214434114,8.722152565,9.32846445,9.979820495,9.723338159,9.809357993,9.265317804,10.31395817,9.662280676,10.04676793,10.3545929,9.894067349,8.354855459,10.07871492,10.55635042,9.828402763,9.240773267,9.312602409,9.489234024,10.15518125,9.728060781,9.983955384,10.37012634,8.696805196,9.657810274,10.34382708,8.869325788,9.37544211,8.856469967,10.55143662,9.5367158,10.46360122,9.670505724,7.931158869,10.21299584,9.47080957,9.185108714,9.879784348,9.088899481,9.797496959,10.38705004,10.7811036,9.25954797,9.195598111,9.793565934,9.851093269,9.073147283,9.222758123,9.793529195,8.828296275,9.227196791,10.08764037,9.478301927,9.535649299,9.793924084,10.20850649,9.060012381,9.95964672,9.295402482,9.969385034,9.672558237,9.630050279
RRS1,8.357120429,8.514004164,8.264600645,8.965362729,8.45352353,8.180765568,9.095519122,8.489875588,10.13824982,9.210216534,9.499092163,8.242431439,10.1361401,8.423446479,9.293973078,8.577893416,9.444032056,8.486515742,8.993890543,8.085089378,9.238020812,9.039194384,7.942842547,9.142984402,10.16860504,8.523213955,10.18559616,9.574339378,7.944119789,9.615561082,8.546036671,7.80236156,7.68237281,9.560409184,10.40350184,9.711021136,8.764827671,9.560610559,9.510856847,9.281074799,8.955708074,8.976598999,7.792926407,7.863805177,8.875372001,8.328031016,9.07539034,8.415849532,9.292933219,7.055558175,9.078534345,9.48463239,9.843420195,10.43276061,8.087023691,9.451522724,8.970696354,7.192364156,9.505624327,10.38770586,10.35611833,9.378625995,9.782566292,8.643959106,9.824594775,9.744853043,6.343830596,8.929459761,8.344449317,9.935931414,8.634267554,9.374795662,8.633788861,9.020889879,10.87934964,8.959567309,8.70090883,9.214167011,9.361138708,9.320548816,9.640647408
ADAT1,4.587894713,4.34957923,3.900188978,4.444571639,3.701945519,4.574409169,4.361677006,4.995284903,4.048416581,4.567401723,4.508648149,3.87541427,5.177545546,5.219830234,4.796144203,4.573691489,4.140043865,4.924499724,3.753739761,3.638062356,4.200705878,4.266134962,4.008827563,4.685072417,4.494510484,4.683986999,5.107720311,5.073649882,5.264845881,4.888718499,4.047075223,4.628859975,4.241076056,4.468095782,4.298483097,3.904588185,3.967344677,4.705653173,4.02914753,5.167146531,4.506184746,4.334356275,5.492379768,4.630656831,4.283282224,4.469641688,4.236888057,4.648342115,5.022969444,4.215734969,4.13879961,5.694990123,5.855399477,4.250811236,4.329539252,5.198382301,3.888563574,4.572568748,3.780155072,3.845211465,5.458930381,5.069452332,4.856677595,5.123733549,4.895951432,5.401952371,3.873817762,3.861868508,5.149440671,4.049123367,4.883213565,4.260093266,3.701035817,3.917248918,4.263015117,4.298838638,5.152235253,4.739762485,5.358408775,4.1574474,4.369004189
SCAND1,8.035586224,7.966846034,8.149989954,7.5422226,8.109439443,7.974163551,8.301000368,7.334226054,8.315985413,8.41468186,9.005798697,9.519412379,8.036295519,8.229847851,7.939234587,8.606866694,7.213106202,7.719887643,8.360762531,7.061378817,8.561546597,8.091725731,8.093152284,8.244314034,7.974756106,8.464850937,8.23575308,8.231442707,7.920807187,8.868645685,7.284268213,12.69707318,8.719291529,7.668881548,8.097250054,7.741298693,7.802999549,7.648363999,8.598903241,7.82898749,7.404207504,8.231615995,8.125481831,8.156065555,9.151011415,8.455953246,8.508703146,9.638146525,7.379921763,8.014131407,8.037838871,8.81130769,9.470288452,7.698214971,7.400951167,8.835542092,8.217660453,8.070377343,8.282060677,6.428074243,7.949142655,8.46030418,8.184443728,8.722809325,7.800090127,8.178463901,8.389724408,7.60855617,8.54476994,8.145284087,10.01827488,8.465271506,7.58883346,8.12408126,8.739161165,8.443989395,8.233117248,8.423365537,8.397601668,8.390286632,7.932970106
